Title,Abstract,Publication(s),Applicant(s),International filing date,Priority(s),Inventor(s),IPC,CPC,Simple family member(s),Claims,Ranking,Drawing

HEAT EXCHANGER,"Provided is a heat exchanger including a core portion configured to include an inlet header tank and an outlet header tank having a space, in which cooling water is stored and flows, formed therein and formed in a height direction, a plurality of tubes having both ends connected to the header tanks to form a cooling water channel, and fins interposed between the tubes, in which a core portion of the heater exchanger is formed to block only a part of a bypass area of a part where inlet/outlet header tanks are positioned to reduce a pressure loss of air which is a cooled fluid while minimizing a reduction in heat radiation performance of the heat exchanger and structural rigidity of the core portion is increased by a reinforcing structure formed at an outer side of the core portion to improve durability.","US2018058306A1 2018-03-01
","HANON SYSTEMS
",22/08/2017,"KR20160108216A 
KR20160108499A 
KR20160126367A 
","OH KWANG HUN
YOO SEOK JONG
JO ARA
LEE SANG MIN
","F02B29/04
F28F3/02
F28F9/00
F28F9/02
","F02B29/0462
F28F3/02
F28F9/001
F28F9/0246
F28F2250/06
","DE102017214822A1
US2018058306A1
",,5,

HEAT EXCHANGER FOR VEHICLE,"A heat exchanger for a vehicle is mounted in a vehicle having a power train through which an engine coolant, an engine oil and a transmission oil flow and in which a flow rate of the engine oil and a flow rate of the transmission oil are different from each other. A first flow passage for causing the engine coolant to flow, a second flow passage for causing the engine oil to flow, and a third flow passage for causing the transmission oil to flow are formed through lamination of a plurality of plates. The heat exchanger includes a region where the first flow passage is adjacent only to that one of the second flow passage and the third flow passage through which a fluid flows at lower flow rate.","US2018058766A1 2018-03-01
","TOYOTA MOTOR CO LTD
MAHLE FILTER SYSTEMS JP CORP
",25/08/2017,"JP2016166820A 2016-08-29
","TOKOZAKURA DAISUKE
SHIINA TAKAHIRO
ISODA KATSUHIRO
OOI NAOKI
TOMINAGA SATOSHI
","F28D9/00
","F28D9/0093
F28D9/005
F28D2021/0089
F28D2021/0094
","DE102017119514A1
US2018058766A1
",,3,

Heat Sink Assembly,A heat sink assembly includes plural thermally conductive hair fins configured to be thermally coupled with a component to be cooled. The hair fins are elongated along a first direction and separated from each other by gaps along different second and third directions. The hair fins are configured to receive heat from the component to be cooled and to transfer the heat to cooling air disposed between the hair fins in order to cool the component.,"US2018058773A1 2018-03-01
","GEN ELECTRIC
",31/08/2016,"US2018058773A1 2016-08-31
","ADHIACHARI SUBRAMANI
JAIN JAYESH
","F28F3/02
F28D21/00
","F28F3/022
F28D21/00
F28D2021/0029
F28F2215/06
","US2018058773A1
",,3,

PRO-BOXER FLEXIBLE LANCE POSITIONER APPARATUS,"A lance drive support apparatus is adapted to be fastened directly to a heat exchanger tube sheet adjacent a selected number of tubes to be cleaned. One embodiment includes an angled flat base plate having an inner center corner, an outer center corner, a first outer end corner and a second outer end corner, a support post adjacent each outer end corner, and the inner center corner fastened at one end to the base plate, and a top plate fastened to an opposite end of each support post. An extensible scissor arm assembly pivotally fastened to the inner center corner post can position a lance drive mechanism at a distal end of the scissor arm assembly at precise X and Y coordinates adjacent the tube sheet. The precise X and Y coordinates are determined by positions of X and Y cylinders connected to a common scissor arm assembly extension hinge.","US2018058783A1 2018-03-01
","STONEAGE INC
",07/08/2017,"US201662379428P 
US2018058783A1 2017-08-07
","ZINK GERALD P
","F28G3/16
F28G15/02
","F28G3/163
F28G15/02
F28G15/04
","US2018058783A1
WO2018038901A1
",,1,

LASER COOLING SYSTEM,"A laser cooling system includes a first tubing, a second tubing, and a cold plate assembly including a first channel to receive the first tubing and a second channel to receive the second tubing. A joint removably couples the first tubing to the second tubing and at least one component mounted on the cold plate assembly over the first tubing or the second tubing. The inlet end of the first tubing receives a cooling fluid and an outlet end of the second tubing discharges the cooling fluid after the cooling fluid flows through the first tubing, the joint, and the second tubing to maintain uniform a temperature of the at least one component mounted on the cold plate assembly.","US2018062347A1 2018-03-01
","NLIGHT INC
",28/08/2017,"US201662382034P 
US2018062347A1 2017-08-28
","STEPHENS RODNEY MARK
HODGES AARON LUDWIG
","H01S5/024
B23K26/70
F28D15/04
F28F9/013
H01L23/473
H01S3/04
","H01S5/02423
B23K26/703
F28D15/04
F28D2021/0028
F28F9/0131
H01L23/473
H01S3/0402
","US2018062347A1
WO2018044813A1
",,3,

HEAT EXCHANGER AND WARM WATER DEVICE,A latent heat recovery heat exchanger (10) is provided with a heat exchange section (11) and a case (12). The heat exchange section (11) has a plurality of heat transfer plates (12b) stacked on each other. The case (12) accommodates the plurality of heat transfer plates (12b) of the heat exchange section (11). The heat exchange section (11) includes a front plate section (11a) provided to an outermost layer of the heat exchange section (11). The front plate section (11a) of the heat exchange section (11) constitutes a part of the case (12).,"WO2018037857A1 2018-03-01
","NORITZ CORP
",02/08/2017,"JP2016164888A 2016-08-25
","OOSHITA WATARU
KONDO MASAKI
","F24H9/00
F24H1/12
F24H8/00
",,"WO2018037857A1
",,3,

LOCATING MECHANISM FOR HEAT EXCHANGER ASSEMBLY,"A heat exchanger assembly, having a heat exchanger having at least a plate pair, the plate pair defining a fluid passage for flow of fluid for heat exchange, and optionally coupled a base plate of the heat exchanger assembly. A component coupled to the heat exchanger or the base plate of the heat exchanger assembly, where the base plate is coupled to a bottom plate of the heat exchanger; the component having a plurality of parts, where one part of the plurality of parts has one or more protuberances, the one or more protuberances engaging a slit or cut-out for coupling the component.","WO2018035614A1 2018-03-01
","DANA CANADA CORP
",25/08/2017,"US201662380098P 2016-08-26
","FUKADA TAKAYUKI
KAMENSKI JOSEPH A
","F28F9/00
F28D1/03
F28D9/00
F28F3/08
",,"WO2018035614A1
",,5,

PLATE HEAT EXCHANGER,"A plate heat exchanger comprises a first plate sheet (11) and a second plate sheet (12). A blocking member (15) is disposed between a front surface of the second plate sheet (12) and a back surface of the first plate sheet (11). The blocking member (15) is located between a first corner hole (121) and a second corner hole (122) of the second plate sheet (12), and one end of the blocking member (15) is located on a side portion of the second plate sheet (12). A first corner hole (121) of the second plate sheet (12) bypasses the other end of the blocking member (15) to communicate with a second corner hole (122) of the second plate sheet (12). In the plate heat exchanger, a blocking member is disposed between two plate sheets, accordingly fluid can be evenly distributed, and the plate heat exchanger has good heat exchange performance.","WO2018036467A1 2018-03-01
","HANGZHOU SANHUA RES INSTITUTE CO LTD
",22/08/2017,"CN201610733702A 2016-08-25
","ZOU JIANG
YE JIABIN
LV GANG
ZHANG WEI
YIN FANGFANG
","F28D9/00
F28F3/08
F28F9/24
",,"WO2018036467A1
",,5,

VIBRATION ISOLATION SYSTEM OF NUCLEAR PILE OF SUBMARINE,"FIELD: power engineering.SUBSTANCE: invention relates to power equipment of submarines. System consists of mounted on a housing on vibration isolation system (5) nuclear pile (1), pipelines (2), housing (4), out-board heat exchanger (3), vibration sensors (6), sensors of dynamic force (10), execution units (9), power amplifiers (8), control systems (7). Execution units compensate the dynamical forces of the pipelines of the emergency system by sensor signals. Vibration isolation system contains the lower and upper supporting plates. Between the plates coaxially and concentric the external with right and internal with left angles of turns rise springs are installed. Bottom support plate is base on which the bottom flanges of springs are rigidly secured. Between the top support plate and top flange of the internal spring the dry friction damper is installed. Damper consists of two contacting cylindrical discs. Bottom disc is rigidly linked with top flange of the internal spring. Top disc is rigidly linked with the top support disk. On facing each other surfaces of discs the concentric diametric grooves and inserted in them shoulders are made.EFFECT: increase in the efficiency of the vibration isolation of the nuclear pile through the pipelines of the emergency cooling system is achieved.1 cl, 2 dwg","RU2645468C1 2018-02-21
","KOCHETOV OLEG SAVELEVICH
",09/12/2016,"RU2645468C1 2016-12-09
","KOCHETOV OLEG SAVELEVICH
","F16F15/02
B63G8/34
G21C15/18
",,"RU2645468C1
",,1,

"INDEXER, INDEXER RETROFIT KIT AND METHOD OF USE THEREOF","A system and method for cleaning of heat exchanger tubes including an assembly, an indexer and a communication device provided with specialized software and programming. The indexer includes orthogonally arranged first and second arms. A trolley and sensors are provided on the indexer arms. One or more lances are provided on the trolley to deliver water jets into the openings. Sensors measure displacement as the trolley is moved relative to the heat exchanger's face plate. An operator controls the system from a distance away using the communication device. During setup, the pattern of the face plate is learned and mapped utilizing information from the sensors as one of the inputs. This information is utilized to help navigate the face plate during a subsequent cleaning operation. A kit for retrofitting existing X-Y indexers is also disclosed.","CA2977510A1 2018-02-28
","TERYDON INC
",29/08/2017,"US201662381390P 2016-08-30
","GROMES TERRY DEAN SR
SHOCKEY JON M JR
JACKSON WILLIAM C
GROMES KRISTEN E
EAST GORDON W
GROMES TERRY DEAN JR
","F28G15/02
F22B37/56
F28G1/16
F28G15/04
",,"CA2977510A1
",,1,

HELMET ACTIVE THERMO ELECTRIC COOLING SYSTEM AND METHOD,Provided are active Thermoelectric Cooling (ÒTECÓ) systems/apparatuses for the purpose of cooling a person's head with or without the person wearing a safety helmet or hard hat.,"US2018064199A1 2018-03-08
","BATTIS ROBERT D
ARMSTRONG WAYNE T
EXTREME LASER TECH INC
",05/09/2017,"US201662383677P 
US201662397596P 
US2018064199A1 2017-09-05
","BATTIS ROBERT D
ARMSTRONG WAYNE T
","A42B3/28
A42B3/04
F21V21/084
F28D9/00
H01L35/02
",,"US2018064199A1
",,1,

HEAT EXCHANGER,"This heat exchanger comprises: a duct (1) having formed therein a first fluid flow passage (13) through which first fluid flows; a stacked core (2) accommodated within the duct and having a plurality of tubes (21) which have formed therein second fluid flow passages through which second fluid flows; and pipes (124a, 124b, 125a, 125b, 126a, 126b) from which the second fluid flows into the plurality of tubes or into which the second fluid flows from the plurality of tubes. The plurality of tubes are stacked in a tube stack direction (B), the first fluid flows within the duct in a first fluid flow direction (A), a core width direction is a direction perpendicular to both the tube stack direction and the first fluid flow direction (A), and the pipes extend to the outside of the duct from the portion of the duct, which overlaps the stacked core in the core width direction.","WO2018042965A1 2018-03-08
